City,State,2020 Max,2019 Max,2018 Max,2017 Max,2016 Max,2020 Mean,2019 Mean,2018 Mean,2017 Mean,2016 Mean
Cheektowaga,New York,1.492,1.146,1.192,0.4,1.787,0.234148,0.228525,0.211515,0.000718,0.242814
Buffalo,New York,1.4,1.1,1.2,1.3,1.5,0.190984,0.244741,0.254592,0.323349,0.299084
Rochester,New York,1.685,0.882,1.627,0.97,1.5,0.195713,0.240742,0.235921,0.244921,0.196815
Raleigh,North Carolina,1.267,1.904,1.44,1.701,2.56,0.222659,0.249395,0.230031,0.232364,0.232774
Bismarck,North Dakota,0.748,1.0,0.82,0.999,0.779,0.165013,0.163492,0.169658,0.177693,0.16369
New Paris,Ohio,0.409,0.669,0.453,0.729,0.678,0.151081,0.149776,0.151107,0.159637,0.162386
Cincinnati,Ohio,1.649,2.223,8.807,1.464,1.767,0.359482,0.379672,0.381111,0.37147,0.396596
Cleveland,Ohio,2.764,2.315,2.624,1.995,4.41,0.199709,0.244701,0.258615,0.268814,0.26978
Columbus,Ohio,1.9,2.0,1.2,1.6,1.9,0.167794,0.050762,0.108145,0.16052,0.169988
Shadyside,Ohio,0.1,1.9,0.8,0.8,0.8,-0.064737,0.148647,0.15282,0.179158,0.164937
Warrensville Heights,Ohio,1.097,1.526,1.42,0.745,0.694,0.221428,0.241079,0.244485,0.204974,0.223102
Tulsa,Oklahoma,1.51,2.62,1.42,1.57,2.41,0.201015,0.225102,0.239002,0.219771,0.231547
Cherry Tree,Oklahoma,1.537,2.016,1.927,0.719,0.632,0.253821,0.168802,0.166148,0.16759,0.161988
Oklahoma City,Oklahoma,2.1,1.7,1.9,1.8,1.7,0.597679,0.311583,0.411573,0.402009,0.319058
Tualatin,Oregon,14.7,1.3,1.4,1.383,1.7,0.36112,0.251272,0.358737,0.264467,0.329301
Johnstown,Pennsylvania,1.4,3.1,1.3,1.1,1.3,0.062183,0.087147,0.106996,0.084517,0.066404
Erie,Pennsylvania,1.4,0.9,0.8,0.7,1.2,0.043914,0.053321,0.021465,0.076474,0.205184
Pittsburgh,Pennsylvania,1.834,2.2,1.9,2.1,2.1,0.240287,0.272535,0.278041,0.265048,0.280877
Wilkinsburg,Pennsylvania,6.081,6.536,7.363,8.955,4.748,0.468901,0.494594,0.463881,0.468317,0.47283
Scranton,Pennsylvania,1.9,1.4,2.0,0.8,1.4,0.173737,0.168916,0.255765,0.127013,0.242628
Ponce,Puerto Rico,22.8,6.3,8.7,11.4,19.4,0.165382,0.321839,0.33573,0.370587,0.577643
Guaynabo,Puerto Rico,1.1,13.3,1.0,6.2,7.1,0.522656,0.436928,0.299645,0.30308,0.298821
East Providence,Rhode Island,1.325,1.588,1.447,1.793,1.39,0.207719,0.205099,0.202778,0.209414,0.211191
Providence,Rhode Island,2.195,2.457,2.578,2.761,3.07,0.480714,0.532229,0.530624,0.539275,0.572244
Dentsville (Dents),South Carolina,1.182,0.894,1.042,1.2,1.1,-0.017997,0.09171,0.128252,0.188529,0.177439
Sioux Falls,South Dakota,0.897,1.329,0.899,1.239,1.3,0.178709,0.182477,0.177361,0.183065,0.188964
Memphis,Tennessee,1.115,1.23,1.708,1.466,1.765,0.259117,0.276406,0.283933,0.292074,0.266317
Nashville-Davidson (Remainder),Tennessee,1.7,1.7,1.9,1.9,1.8,0.226532,0.334745,0.404784,0.380833,0.424091
Dallas,Texas,1.29,1.825,1.775,1.763,1.479,0.178171,0.183213,0.214443,0.188949,0.213132
Deer Park,Texas,1.678,1.63,1.43,1.324,2.106,0.182096,0.189923,0.18842,0.155168,0.159526
Austin,Texas,2.2,2.6,2.3,2.3,0.9,0.410867,0.35656,0.334567,0.363088,0.36678
Houston,Texas,2.3,3.1,2.7,2.3,2.3,0.469611,0.486403,0.603304,0.611665,0.452351
Fort Worth,Texas,1.3,2.1,1.8,1.5,1.7,0.306141,0.336181,0.356601,0.369956,0.372831
San Antonio,Texas,1.3,1.6,1.8,1.7,1.0,0.328942,0.327773,0.354377,0.356945,0.356904
Waco,Texas,0.6,0.9,0.6,0.5,0.5,0.205244,0.198161,0.183349,0.181112,0.177966
El Paso,Texas,1.2,2.2,1.1,1.5,1.5,0.186491,0.171114,0.170939,0.190411,0.173033
Underhill (Town of),Vermont,0.256,0.222,0.292,0.706,0.389,0.093223,0.117448,0.101225,0.135211,0.129488
Burlington,Vermont,1.0,1.1,0.8,1.0,0.9,0.318583,0.33817,0.31015,0.323268,0.265639
Rutland,Vermont,3.0,2.5,2.6,1.5,2.2,0.153121,0.178796,0.232863,0.184918,0.09482
Arlington,Virginia,1.4,1.7,1.6,2.1,3.7,0.259007,0.293082,0.30092,0.250796,0.245461
East Highland Park,Virginia,0.97,1.189,1.18,1.21,1.52,0.189016,0.228092,0.227268,0.229653,0.238917
Vinton,Virginia,0.9,0.8,0.8,1.2,1.1,0.186144,0.217713,0.228254,0.2695,0.219213
Hampton,Virginia,0.9,0.7,0.8,0.9,1.0,0.202869,0.172117,0.177016,0.186015,0.166469
Richmond,Virginia,1.2,1.7,1.4,1.7,1.8,0.280243,0.358454,0.29866,0.272948,0.294278
Norfolk,Virginia,1.5,1.5,1.8,1.7,1.2,0.28564,0.299874,0.291716,0.234148,0.228125
Seattle,Washington,1.278,1.501,1.465,2.976,1.999,0.374014,0.411443,0.417,0.436531,0.4855
Charleston,West Virginia,1.1,1.3,1.5,1.5,1.5,0.213509,0.205527,0.228336,0.243764,0.2605
Horicon,Wisconsin,0.337,0.503,0.43,4.811,5.115,0.094732,0.122974,0.184608,0.188376,0.193639
Milwaukee,Wisconsin,0.926,1.223,1.156,0.8,1.1,0.229062,0.30255,0.285643,0.207626,0.277343
